 Lat, Lng,Uuid,Carrier_Code,Stop_Id, Stop_Name,Transit_Modes,Accessible,On_street,Street_direction,Cross_street,Relation_to_Cross_Street,Address,City,State,Zip,Shelter_Present,Seating_Present,Kiosk_Present,Public_Notes,Public_Imagry,Service_Location_Id,Prediction_Count,Dist,Service_Location_Name,Service_Location_UUID
36.772028,-119.815487,,,1992,SW CLINTON - ARTHUR,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.772233,-119.750249,,,1993,SE CLINTON - BARTON,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.772424,-119.752564,,,1994,NE CLINTON - ROWELL,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.76899,-119.754415,,,1996,NE CEDAR - WELDON,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.722402,-119.754566,,,1997,NE CEDAR - DWIGHT,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.779581,-119.78806,,,1998,SE SHIELDS - EFFIE,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.778934,-119.736455,,,1999,SW CHESTNUT - SHIELDS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.760053,-119.736488,,,2000,NW CHESTNUT - HEDGES,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794181,-119.779445,,,2001,NW ASHLAN - AUGUSTA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.765189,-119.791025,,,2004,NW MCKINLEY - BLACKSTONE,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.809761,-119.826504,,,2009,NW WEST - SHAW,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.757731,-119.8001,,,2010,NE OLIVE - FULTON,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.77681,-119.685328,,,2011,2923 N BUSINESS PARK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.77571,-119.682611,,,2012,SW PRINCETON - FOWLER,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.779493,-119.684278,,,2013,MELODY PARK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.714115,-119.790198,,,2015,CHURCH - ELM,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.714093,-119.786435,,,2020,CHURCH - LILY,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.721744,-119.792609,,,2023,ELM - SAN BENITO,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.83896,-119.729354,,,2045,N WILLOW AVE  - CLOVIS COMMONS,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.805303,-119.727289,,,2066,WILLOW - SANTA ANA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.793569,-119.876303,,,2215,SE ASHLAN - MILBURN,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.706309,-119.754638,,,2221,CEDAR AND JENSEN,BUS,,,,,,,,CA,,TRUE,FALSE,FALSE,,,,,,,
36.857407,-119.785065,,,2222,WOODWARD STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.838765,-119.790246,,,2224,HERNDON STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.822288,-119.790405,,,2225,BULLARD STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.801821,-119.790511,,,2226,GETTYSBURG STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.771991,-119.790552,,,2227,CLINTON STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.757227,-119.790568,,,2228,OLIVE STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.742571,-119.790515,,,2229,DIVISADERO STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.738834,-119.788315,,,2231,FRESNO ST STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.7356,-119.790185,,,2232,VAN NESS STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.735924,-119.736339,,,2233,CHESTNUT STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.735901,-119.718164,,,2234,PEACH STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.736101,-119.696305,,,2235,CLOVIS STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.735853,-119.764426,,,2236,6TH ST STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.73591,-119.71865,,,2237,PEACH STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.738825,-119.788191,,,2238,FRESNO ST STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.735698,-119.790309,,,2239,VAN NESS STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.735902,-119.730157,,,2240,WILLOW STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.73588,-119.764291,,,2241,SIXTH STREET STATION,BUS,,,,,,,,CA,,TRUE,TRUE,TRUE,,,,,,,
36.845405,-119.790645,,,2252,SW BLACKSTONE EL PASO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.839214,-119.763898,,,2253,NE MILLBROOK-HERNDON,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.844717,-119.768197,,,2254,NW ALLUVIAL - FLORA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.844705,-119.770665,,,2255,NW ALLUVIAL - BOND,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.844702,-119.7738,,,2256,NW ALLUVIAL - FIRST,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.844696,-119.778724,,,2257,382 EAST ALLUVIAL,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.84469,-119.784248,,,2258,NE ALLUVIAL - FRESNO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.843061,-119.78764,,,2259,NW ALLUVIAL - RIVER PARK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
